TIME,POINT1,POINT2,POINT3
27.060000,633.017994,633.017994,633.017994
27.080000,632.825562,632.825562,632.825562
27.100000,632.633463,632.633463,632.633463
27.120000,632.441696,632.441696,632.441696
27.140000,632.250262,632.250262,632.250262
27.160000,632.059161,632.059161,632.059161
27.180000,631.868391,631.868391,631.868391
27.200000,631.677954,631.677954,631.677954
27.220000,631.487849,631.487849,631.487849
27.240000,631.298076,631.298076,631.298076
27.260000,631.108634,631.108634,631.108634
27.280000,630.919523,630.919523,630.919523
27.300000,630.730744,630.730744,630.730744
27.320000,630.542295,630.542295,630.542295
27.340000,630.354178,630.354178,630.354178
27.360000,630.166390,630.166390,630.166390
27.380000,629.978933,629.978933,629.978933
27.400000,629.791806,629.791806,629.791806
27.420000,629.605008,629.605008,629.605008
27.440000,629.418539,629.418539,629.418539
27.460000,629.232400,629.232400,629.232400
27.480000,629.046589,629.046589,629.046589
27.500000,628.861107,628.861107,628.861107
27.520000,628.675952,628.675952,628.675952
27.540000,628.491125,628.491125,628.491125
27.560000,628.306626,628.306626,628.306626
27.580000,628.122453,628.122453,628.122453
27.600000,627.938607,627.938607,627.938607
27.620000,627.755087,627.755087,627.755087
27.640000,627.571893,627.571893,627.571893
27.660000,627.389025,627.389025,627.389025
27.680000,627.206481,627.206481,627.206481
27.700000,627.024263,627.024263,627.024263
27.720000,626.842368,626.842368,626.842368
27.740000,626.660797,626.660797,626.660797
27.760000,626.479550,626.479550,626.479550
27.780000,626.298625,626.298625,626.298625
27.800000,626.118023,626.118023,626.118023
27.820000,625.937743,625.937743,625.937743
27.840000,625.757785,625.757785,625.757785
27.860000,625.578147,625.578147,625.578147
27.880000,625.398831,625.398831,625.398831
27.900000,625.219835,625.219835,625.219835
27.920000,625.041158,625.041158,625.041158
27.940000,624.862801,624.862801,624.862801
27.960000,624.684762,624.684762,624.684762
27.980000,624.507042,624.507042,624.507042
28.000000,624.329639,624.329639,624.329639
28.020000,624.152554,624.152554,624.152554
28.040000,623.975785,623.975785,623.975785
28.060000,623.799333,623.799333,623.799333
28.080000,623.623196,623.623196,623.623196
28.100000,623.447375,623.447375,623.447375
28.120000,623.271868,623.271868,623.271868
28.140000,623.096676,623.096676,623.096676
28.160000,622.921797,622.921797,622.921797
28.180000,622.747231,622.747231,622.747231
28.200000,622.572978,622.572978,622.572978
28.220000,622.399037,622.399037,622.399037
28.240000,622.225407,622.225407,622.225407
28.260000,622.052088,622.052088,622.052088
28.280000,621.879080,621.879080,621.879080
28.300000,621.706381,621.706381,621.706381
28.320000,621.533991,621.533991,621.533991
28.340000,621.361910,621.361910,621.361910
28.360000,621.190137,621.190137,621.190137
28.380000,621.018671,621.018671,621.018671
28.400000,620.847513,620.847513,620.847513
28.420000,620.676660,620.676660,620.676660
28.440000,620.506113,620.506113,620.506113
28.460000,620.335872,620.335872,620.335872
28.480000,620.165934,620.165934,620.165934
28.500000,619.996301,619.996301,619.996301
28.520000,619.826971,619.826971,619.826971
28.540000,619.657944,619.657944,619.657944
28.560000,619.489219,619.489219,619.489219
28.580000,619.320795,619.320795,619.320795
28.600000,619.152672,619.152672,619.152672
28.620000,618.984849,618.984849,618.984849
28.640000,618.817326,618.817326,618.817326
28.660000,618.650102,618.650102,618.650102
28.680000,618.483177,618.483177,618.483177
28.700000,618.316549,618.316549,618.316549
28.720000,618.150218,618.150218,618.150218
28.740000,617.984184,617.984184,617.984184
28.760000,617.818446,617.818446,617.818446
28.780000,617.653004,617.653004,617.653004
28.800000,617.487856,617.487856,617.487856
28.820000,617.323002,617.323002,617.323002
28.840000,617.158441,617.158441,617.158441
28.860000,616.994174,616.994174,616.994174
28.880000,616.830198,616.830198,616.830198
28.900000,616.666514,616.666514,616.666514
28.920000,616.503121,616.503121,616.503121
28.940000,616.340019,616.340019,616.340019
28.960000,616.177206,616.177206,616.177206
28.980000,616.014682,616.014682,616.014682
29.000000,615.852447,615.852447,615.852447
29.020000,615.690499,615.690499,615.690499
29.040000,615.528839,615.528839,615.528839
29.060000,615.367465,615.367465,615.367465
29.080000,615.206377,615.206377,615.206377
29.100000,615.045574,615.045574,615.045574
29.120000,614.885056,614.885056,614.885056
29.140000,614.724822,614.724822,614.724822
29.160000,614.564871,614.564871,614.564871
29.180000,614.405203,614.405203,614.405203
29.200000,614.245817,614.245817,614.245817
29.220000,614.086712,614.086712,614.086712
29.240000,613.927889,613.927889,613.927889
29.260000,613.769345,613.769345,613.769345
29.280000,613.611080,613.611080,613.611080
29.300000,613.453094,613.453094,613.453094
29.320000,613.295387,613.295387,613.295387
29.340000,613.137956,613.137956,613.137956
29.360000,612.980803,612.980803,612.980803
29.380000,612.823925,612.823925,612.823925
29.400000,612.667323,612.667323,612.667323
29.420000,612.510995,612.510995,612.510995
