TIME,POINT1,POINT2,POINT3
12.080000,503.512552,503.280574,0.050000
12.100000,503.699996,503.467840,0.050000
12.120000,503.887112,503.654781,0.050000
12.140000,504.073903,503.841395,0.050000
12.160000,504.260366,504.027682,0.050000
12.180000,504.446504,504.213644,0.050000
12.200000,504.632314,504.399279,0.050000
12.220000,504.817799,504.584587,0.050000
12.240000,505.002956,504.769570,0.050000
12.260000,505.187788,504.954226,0.050000
12.280000,505.372292,505.138556,0.050000
12.300000,505.556471,505.322559,0.050000
12.320000,505.740323,505.506237,0.050000
12.340000,505.923849,505.689588,0.050000
12.360000,506.107048,505.872613,0.050000
12.380000,506.289922,506.055312,0.050000
12.400000,506.472469,506.237685,0.050000
12.420000,506.654689,506.419733,0.050000
12.440000,506.836584,506.601454,0.050000
12.460000,507.018153,506.782849,0.050000
12.480000,507.199396,506.963919,0.050000
12.500000,507.380313,507.144663,0.050000
12.520000,507.560904,507.325081,0.050000
12.540000,507.741170,507.505174,0.050000
12.560000,507.921110,507.684942,0.050000
12.580000,508.100724,507.864384,0.050000
12.600000,508.280013,508.043501,0.050000
12.620000,508.458977,508.222293,0.050000
12.640000,508.637615,508.400759,0.050000
12.660000,508.815929,508.578901,0.050000
12.680000,508.993917,508.756718,0.050000
12.700000,509.171580,508.934210,0.050000
12.720000,509.348919,509.111378,0.050000
12.740000,509.525933,509.288221,0.050000
12.760000,509.702622,509.464740,0.050000
12.780000,509.878987,509.640935,0.050000
12.800000,510.055028,509.816805,0.050000
12.820000,510.230745,509.992352,0.050000
12.840000,510.406137,510.167575,0.050000
12.860000,510.581206,510.342474,0.050000
12.880000,510.755951,510.517049,0.050000
12.900000,510.930373,510.691302,0.050000
12.920000,511.104471,510.865231,0.050000
12.940000,511.278246,511.038837,0.050000
12.960000,511.451698,511.212120,0.050000
12.980000,511.624827,511.385080,0.050000
13.000000,511.797633,511.557718,0.050000
13.020000,511.970116,511.730034,0.050000
13.040000,512.142277,511.902027,0.050000
13.060000,512.314116,512.073698,0.050000
13.080000,512.485633,512.245047,0.050000
13.100000,512.656828,512.416075,0.050000
13.120000,512.827701,512.586781,0.050000
13.140000,512.998252,512.757166,0.050000
13.160000,513.168483,512.927229,0.050000
13.180000,513.338392,513.096972,0.050000
13.200000,513.507980,513.266394,0.050000
13.220000,513.677247,513.435495,0.050000
13.240000,513.846194,513.604276,0.050000
13.260000,514.014821,513.772737,0.050000
13.280000,514.183127,513.940878,0.050000
13.300000,514.351113,514.108699,0.050000
13.320000,514.518780,514.276200,0.050000
13.340000,514.686127,514.443382,0.050000
13.360000,514.853155,514.610246,0.050000
13.380000,515.019864,514.776790,0.050000
13.400000,515.186253,514.943015,0.050000
13.420000,515.352325,515.108922,0.050000
13.440000,515.518077,515.274511,0.050000
13.460000,515.683512,515.439782,0.050000
13.480000,515.848628,515.604735,0.050000
13.500000,516.013427,515.769371,0.050000
13.520000,516.177908,515.933689,0.050000
13.540000,516.342073,516.097690,0.050000
13.560000,516.505919,516.261375,0.050000
13.580000,516.669450,516.424742,0.050000
13.600000,516.832663,516.587794,0.050000
13.620000,516.995561,516.750529,0.050000
13.640000,517.158142,516.912948,0.050000
13.660000,517.320407,517.075052,0.050000
13.680000,517.482357,517.236841,0.050000
13.700000,517.643992,517.398314,0.050000
13.720000,517.805311,517.559472,0.050000
13.740000,517.966316,517.720316,0.050000
13.760000,518.127006,517.880846,0.050000
13.780000,518.287382,518.041061,0.050000
13.800000,518.447444,518.200963,0.050000
13.820000,518.607192,518.360551,0.050000
